"DESCRIPTION"	"SKILL"	"SKILL_ACTIVE"
"(CUSTOMER REQUEST) ENG #2 STATOR-ALTERNA"	"AP"	"AP"
"GALLEY 7 AISLE DECORATIVE DAMAGED"	"WSCB,WSCN"	"W402"
"GALLEY 1 PLACARD DAMAGE & MISSING"	"CBN,WSPT"	
"MAIN L/G WHEEL BRAKE NO.8 ROTOR WAS CRACK"	"AP"	"AP"
"FWD CARGO SOUND PROOFING FR 40 NO. 120 HAS BROKEN"	"AP,WSCB,WSCN"	"AP"
"FWD CARGO SOUND PROOFING FR 40 NO. 10 HAS BROKEN"	"AP,WSCB,WSCN"	"AP"
"AFT LH LAV TOILET WASTE BIN APRON DMG"	"CBN,WSCB"	
"AFT LAV D DOOR INNER DECORATIVE DAMAGE"	"CBN,WSCB"	
"CAPT & FO PEN HOLDER FOUND INK STAIN"	"CBN"	"GAH407C1"
"CAPTAIN INBOARD ARM CAP FOUND DIRTY"	"CBN,WSSE,WSSS"	"GAH407C1"
"ALL INSIDE LUG BIN FOUND INK STAIN & DIRTY"	"CBN,WSCB,WSCN,WSSS"	
"HORISONTAL PADING SLIDING WINDOW POS CAPT ERODED"	"CBN"	"GAH407C1"
"LH Wing - gouge and chaffing at outbd ma"	"NA,STR,WSNC"	"NA"
"Main L/G & Wheel well : Blade Seal torn at LH main gear wheel well (5ea)"	"AP"	"AP"
"Side wall panel - 2RH - Shade holder att"	"CBN"	"CBN"
"Side wall panel - 20RH - Shade holder attachment broken and loose(Aft)"	"CBN"	"CBN"
"Side wall panel - 20RH - Shade(fwd) crac"	"CBN"	"CBN"
"Side wall panel - 1LH - Shade contaminat"	"CBN"	"CBN"
"Side wall panel - 2LH - Shade holder mis"	"CBN"	"CBN"
"Side wall panel - 16LH - Shade holder missing (fwd/aft)"	"CBN"	"CBN"
"[POIL-023]ENG#1 O/B T/R ERROSION OF THE FIBERS NOTED ON THE TRTANSLATINGSLEEVEINNERSERVICE T/E AREA"	"WSSR,WSST"	
"[POIL-059]ENG#2 I/B FAN COWL STRAKE SEAL IS DAMAGED IN THE L/E AREA"	"WSSR"	
"LH WING I/B UPPER LUG TRUNION FITTING CORROSION"	"AP,STR,WSNC,WSPT,WSST"	
"LH MLG PIN SIDE STAY NEED REPAINT"	"WSPT"	
"EXT FUSELAGE SKIN EXISTING REPAIR STA 727D-727F BTW STR 1R-4R"	"STR"	
"LH WING MOVABLE FAIRING#3 DELAMINATION"	"WSPT,WSST"	"WSPT"
"TRANSDUCER PN: 342300 AT RUDDER WAS CORROSION"	"EA"	"EA"
"COVER FEEDER CABLE NEED TO BE RESTORED P"	"AP"	"AP"
"AFT CABIN COMPARTMENT BTW STA 1016-1040 AFT PRESSURE BULKHEAD SEAL BROKEN"	"STR"	
"FWD BELLY FAIRING SUPPORT FR. 37.4 Y1065 - (-Y1065) PLATE NUT CORROSION"	"STR"	"STR"
"ATTD SEAT FWD, SPRING TORSION BROKEN 1EA"	"WSSS"	"WSSS"
"POIL-208: THE RH INBD MAIN FLAP TORQUE TUBE DOOR IN THE BODY FAIRING HASDEEP WEAR ON THE OUTER SURFACE"	"STR,WSNC,WSPT,WSSR,WSST"	
"POIL-249: LEADING EDGE FAIRING 331 DZ NUMEROUS NICKS AND DENTS SOME COMMON TO PREVIOUS DAMAGE"	"WSSR"	"GAH407A1"
"CABIN FLOOR AFT BEHIND GALLEY #4 (AFT 20B) DAMAGE PN:147A5810-29"	"CBN,WSSR"	
"POIL-332 : 242AF CABIN FLOOR 9D WAS DENT,SCRATCH AND EDGE DAMAGE PN :144A5810- 132"	"CBN,WSSR"	
"CABIN FLOOR AFT RH LAVATORY (AFT 17B) DAMAGE PN:147A5810-345"	"CBN,WSSR"	
"16B CABIN FLOOR WAS DENT PN: 147A5810-17"	"CBN,WSSR"	
"POIL-358 : 242 MF (14D) CABIN FLOOR WAS DENT PN : 146A5810 - 102"	"CBN,WSSR"	
"LESSOR FINDINGLOC. FUSELAGELESSOR COMMENT : INSPECT RECTIFYUPPER FUSE ADFANTENNA HAS SIGN OF EROSION AND BASE MOUNTING BOLTSEALANT POOR"	"EA,STR"	"EA"
"NEED PAINTING PAINT PEEL OFF ALL AREA CO"	"WSPT"	"WSPT"
"RH HORSTAB ACCESS PANEL 343 GB NEED NEW GASKET"	"AP,EA"	"AP"
"AFT CARGO AFT CORNER SCUFF PLATE WAS CRACK"	"AP,Repair Eng/APU Welding,WSNC,WSPT,WSSR"	
"ENG.#1 UPPER PYLON PANEL WAS EROTION"	"AP,WSPT,WSSR"	"AP"
"LH WING AILERON PANEL 575DB SCREW HEAD DAMAGE DAMAGE 30EA"	"AP"	"AP"
"FWD CARGO COMPT AT CENTER ANGLE PARTISIO"	"STR"	"EA"
"LH UPPER ENG. PRECOLER SEAL BROKEN"	"AP"	"AP"
"LH ENG UPPER PANEL SEAL BROKEN"	"AP"	"AP"
"RH PRIMARY DIFFUSER HEAT EXCAHNGER SWAT"	"EA"	"EA"
"PAX SEAT FAIRING IAT INSIDE POST 1C BROK"	"WSSE"	"EA"
"LH WING TANK PANEL 542 AB GASKET AND O RING TEAR OFF"	"AP,STR"	"AP"
"SPOILER NO #3 AND #5 PAINT PEEL OFF AT LOWER SURFACE"	"WSPT"	"WSPT"
"FWD CARGO FLOOR 131BF PUNCTURE"	"AP,WSSR"	"AP"
"INSPECTION REMARK FOUND AFT LOWER FUSELA"	"STR"	"EA"
"RH WING I/B & O/B FLAP INTERCONNECTING S"	"AP"	"AP"
"EXT FUSELAGE SKIN AT STA 794.3 STR 20R C"	"STR,WSNC"	"EA"
"EXT FUSELAGE SKIN AROUND BIGE DRAIN BTW"	"AP,STR,WSNC,WSPT"	"AP"
"RH WING NAV LIGHT COVER NEED RESEALENT"	"STR"	"STR"
"FWD CARGO SIDE WALL LH #3 HAS TEAR"	"AP,STR"	"EA"
"FWD CARGO COMP LH PROFILE CORNER BTW FR"	"STR"	"STR"
"COVER LAMP BURN OUT/ DISCOLORATION POSITION LAV L35,L36,L54"	"CBN"	"CBN"
"FWD CARGO CEILING SHROUD AFT CTR DAMAGE"	"AP,WSPT,WSSR"	"EA"
"BULK CARGO FLOOR 16CF EX-REPAIR"	"WSSR"	"WSSR"
"SEAL UPPER GALLEY 1 TO GALLEY 2 PEEL OFF"	"CBN"	"EA"
"SKEW SENSOR CONTROL ROD EYE BEARING HOUS"	"EA"	"EA"
"FWD CARGO DOOR HAS EXISTING REPAIR"	"NA,WSPT,WSST"	"NA"
"FWD CARGO SIDEWALL PANEL 132WW HAS DELAMINATION"	"WSPT,WSST"	"WSPT"
"FWD CARGO XZ LATCH SPRING BROKEN 10 EA"	"AP"	"AP"
"NUMEROUS COMPARTMENT LUGAGEBIN DEVIDER P"	"WSSS"	"WSSS"
"FUSELAGE STATION 1016 - 1040 STR 4RH APA"	"STR,WSPT"	"STR"
"BULK CARGO SIDEWALL 161CW PUNCTURE"	"WSPT,WSSR"	"WSPT"
"AFT CARGO SIDEWALL 151JW BROCKEN"	"AP,WSPT,WSSR"	"AP"
"AFT RH DOOR 2R ALL AROUND THE DOOR ARE S"	"STR"	"STR"
"BULK CARGO DOOR LINING BROKEN"	"AP,WSPT,WSST"	"AP"
"AFT CARGO COMPARTMENT CHANNEL BTW STA 72"	"STR"	"EA"
"WEB OF FRAME BELLY FAIRING SUPPORT LIGHT CORROSION AT FR 39 LOWER FUSELAGE LH SIDE"	"STR"	"STR"
"LH WING NAV LIGHT MICA COVER BLUR"	"EA,WSCB"	"EA"
"1ST OBSERVER CUP MISSING"	"CBN"	"CBN"
"COCKPIT WALL LH AND RPAINT DISCOLORATION"	"WSCB,WSSS"	"WSCB"
"ALL SCREW & INSERT NUT TRIM FLOOR PAN LA"	"WSCB"	"WSCB"
"ANTI ICE DUCT OVERPLAY 2EA AT RH ENGINE"	"AP"	"AP"
"CENTER SECTION STA 1480 AT HOLE 24 FOUND"	"AP,NA,STR,WSNC"	"AP"
"UPPER ATC ANTENNA PAINT PEEL OFF"	"EA"	"EA"
"COMPARTMENT DOOR 517 SLOT FILED DUE HING"	"WSCN"	"WSCN"
"G#5 513 521 RETAINER LATCH N/A"	"CBN"	"CBN"
"BULK CARGO FLOOR 162 BF PUNCTURE"	"AP,WSPT,WSST"	"AP"
"AFT BOILER LOWER METAL TRIM NEED REPAIR"	"CBN,WSCB"	"CBN"
"BULB COATROOM NOT COME ON 1EA"	"CBN"	"CBN"
"REF PFR ATA 345133 CLASS 1 DME1(1SD1) SO"	"EA"	"EA"
"RH WING SPOILER NO.5 PAINT EROSION"	"WSPT"	"WSPT"
"COVER ASSIST HANDLE PAINT PEEL OFF AT LA"	"WSSS"	"WSSS"
"RECEPTACLE DUCT AFT CARGO RH SIDE FR. 53"	"STR"	"STR"
"AFT CARGO FLOOR PANEL 151 RG DELAMINATIO"	"AP,WSPT,WSST"	"AP"
"LH ENG PRV SENSE LINE P/N 745-5166-501 N"	"AP"	"AP"
"BULK CARGO SIDEWALL PANEL 162 QW PUNCTUR"	"AP,WSPT,WSST"	"AP"
"RH WING FLAP TRACK #4 FIX CANOE RUBBER S"	"AP"	"AP"
"AIR CHILLER GALLEY 1 INOP"	"CBN"	"CBN"
"BELLY FAIRING PANEL STUD AND WASHER BAD"	"AP"	"AP"
"WEATHER SEAL OF COCKPIT FIXED WINDOW LH-"	"STR"	"STR"
"BOTTOM COVER THIRD OCCUPANT TEAR OFF"	"CBN"	"CBN"
"L/H WING SCREW FASTENER AT KINK SEAL FOU"	"AP"	"AP"
"RH ACM BONDING BROKEN 3 EA"	"EA"	"EA"
"FWD CARGO PDU MOUNTING SCREW BROKEN 30 E"	"AP"	"AP"
"ENG#2 RUBBER SEAL AIR INTAKE COWL INTERB"	"AP"	"AP"
"ENG#2 RH THRUST REVERSER FIRE SEAL TORN"	"WSST"	"WSST"
"ENG #2 LH FAN COWL AT FWD EDGE FOUND ERR"	"WSPT,WSST"	"WSPT"
"2 EA BONDING JUMPER BROKEN AT LH WING BE"	"EA"	"EA"
"APU DOOR COMPT FOUND PAINT PEEL OFF"	"WSPT"	"WSPT"
"ENG 2 LH T/R PAINT PEEL OFF"	"WSPT"	"WSPT"
"BONDING AT RH WING BROKEN 4EA (674AB 1EA"	"EA"	"EA"
"WASH BASIN PANEL LAV L11, L35,L36 PAINT"	"CBN,WSCB,WSSS"	"CBN"
"BOLT ALLEN OF TPIS TRANSMITTER AXLE NO.8"	"AP"	"AP"
"AFT FUSELAGE SKIN FR 77-78 STR 41L CORRO"	"STR,WSNC,WSPT,WSST"	"STR"
"DUCT BLANKET AT LH FWD H/E WAS BROKEN"	"EA"	"EA"
"YELLOW ACCUMULATOR DECAL DETACHED"	"WSPT"	"WSPT"
"BOLT ON BOTH LH AND RH COVER RAT CORRODE"	"AP"	"AP"
"L/H WING SCREW FASTENER FOUND MISSING 3"	"AP"	"AP"
"FOUND BONDING JUMPER AT NLG DOOR TEAR OF"	"AP,EA"	"AP"
"ONE EACH SCREW HEAD ON RH LOGO LITE COVE"	"AP"	"AP"
"PROTECTIVE COVER ON RH RUDDER SURFACE MI"	"WSPT"	"WSPT"
"SEVERAL ELEC HARNESS ON RH HOR STABILIZE"	"EA"	"EA"
"DOOR FRAME PANEL DOOR 4LH PAINT PEEL OFF"	"CBN,WSCB,WSSS"	"CBN"
"RH WING MOVABLE FAIRING #4 SCREW WAS MISSING POS. AFT"	"AP"	"AP"
"SEAT TRACK FROM STA 380 - 540 RBL 24.75"	"STR,WSNC"	"STR"
"MARKING STICKER RAM AIR OUTLET #2 FOUND"	"WSPT"	"WSPT"
"AFT COATROOM 4LH LAMINATE PEEL OFF"	"WSCB"	"WSCB"
"COVER OXYGEN TUBE AT LUGGAGE BIN FR 67 ,"	"CBN,WSCB,WSSS"	"CBN"
"EXIT SIGN COVER ENTRY CEILING AT DOOR 2R"	"CBN"	"CBN"
"PANEL SURFACE UNDER TABLE DETACH POST 12"	"WSSS"	"WSSS"
"CORR.EVIDENT ON THE DOWN ARE AT C58RH"	"NA,STR,WSPT"	"NA"
"CORR. ON TIE DOWN AT C63 CENTER"	"STR,WSPT"	"STR"
"FWD CARGO RH SIDEFLOOR #1 LOWER FOUND PU"	"WSSR"	"WSSR"
"REF HIL C52-110120 ""PAX SEAT BELT AT SEA"	"CBN"	"CBN"
"MEDIA CONTENT OF IFE IS STILL JULY 2019."	"CBN"	"CBN"
"ENG #2 FAN COWL LATCHES PAINT HAS PEEL O"	"WSPT"	"WSPT"
"LH WING LEADING EDGE UPPER SURFACE BTW W"	"WSPT"	"WSPT"
"WHEN EGR UP TO MPA FOUND OIL LEAK FROM GEARBOX STARTER DRIVE PAD AT ENG #2"	"AP,Eng. Maint. Assy &amp; Disassy"	"AP"
"EXTERNAL FUSELAGE SKIN BTW STA 727E-727G STR 26L-27R NICKES"	"STR,WSNC"	"EA"
"EXTERNAL FUSELAGE SKIN BTW STA 727H-727I STR 24L-25L NICKS"	"STR,WSNC"	"EA"
"LH WING AFT FIXED FAIRING PANEL HAS DAMA"	"AP,WSPT,WSSR"	"EA"
"RH ENG PRSOV NOT INSTALLED REF AML SEQ 33"	"AP"	"EA"
"REFER TO AML SEQ 36 J/C ORDER 803592130 DOOR #3 RH EPAS BACKUP NOTINSTALL"	"CBN"	"EA"
"EXTERNAL DOOR 3LH PAINT PELL OFF POST UPPER CORNER AT DOOR"	"WSPT"	"EA"
"AFT CARGO SILLWEB PLATE MULTIPLE DENT"	"AP,WSPT"	"AP"
"PED #2 RH GUIDE ROLLER HIT TO GUIDE TRACK"	"CBN"	"EA"
"RH ENG. O/B T/R FWD FIRE SEAL HAS TORN"	"NA"	"AP"
"AFT CARGO RH SIDE PLATE BTW BS 727- 847"	"STR"	"STR"
"ENGINE #2 RH THRUSH REVESER BOLT AND SLEEVE POS.4 ARE CORRODED"	"AP"	"AP"
"FWD CARGO SIDEWALL L/H #4 HAS TEAR OFF"	"AP,STR"	"AP"
"EXT FUSELAGE SKIN BTW BS 380-500D BTW ST"	"CBN,NA,STR,WSNC"	"CBN"
"APU COMBUSTION CHAMBER AFTER BORESCOPE R"	"AP"	"EA"
"MIRROR L/B SCRATCH POST. 6KJ AFT, 21FG,2"	"CBN"	"CBN"
"RH WING SLAT PANEL 622 RB EROSION AND PA"	"WSNC,WSPT,WSST"	"WSNC"
"FOUND TERMINAL BLOCK COVER MISSING 7 EA"	"EA"	"EA"
"FORWARD CARGO PALLET LOCK LEVER BROKEN 4EA"	"AP"	"AP"
"FORWARD CARGO ""NO STEP"" PLACARD TEAR OFF 3EA (BAC27ECA-41)"	"AP,WSPT"	"AP"
"ENGINE #1 L/E ACOUSTIC PANEL 5 O''CLOCK"	"AP,Repair Eng/APU Chemical Cleaning,Repair Eng/APU Material Painting,Repair Eng/APU Miscellaneous Repair"	"AP"
"PORTABLE HALON FIREX POST COCKPIT EXPIRED ON 15 JAN 2022; SN: A93828207"	"CBN"	"CBN"
"FWD CARGO FLOOR PNL 132DG PUNCTURE"	"WSPT,WSST"	"WSPT"
"ENG #1 RH T/R CORROSION AT FWD SIDE"	"NA"	"NA"
"SAJ FINDING - SCREW RUSTY AND PAINT PEEL OFF AT POTABLE SERVICE PANEL"	"AP,WSPT"	"AP"
"SAJ FINDING - SOME SCREW CORROSION AT FWD CARGO"	"AP"	"AP"
"REF AML SEQ 43 (BOOK 2) RH AFT BOOSTER PUMP CONNECTOR TAKEN FOR PK-GMO"	"EA"	"EA"
"VERSTAB SPAR BOX HOLE COVER BROKEN 18 EA"	"AP"	"AP"
"REMOVE BEFORE FLIGHT ON RED FLAG AT DOOR 4R NOT CLEAR"	"AP,CBN"	"AP"
"CABIN FLOOR PANEL POS.271FF,271QG,261HF,262MG,271AF,C53.2 - C53.45 4RH,C53.45- C53.94RH,242CF,251SG,272EF,252SG,53.4 - 53.9 2LH,53.4 - 53.9 1RH,53.4 - 53.9"	"CBN,WSST"	"CBN"
"(CUST REQ)PANEL471DL NEED REPAINT"	"WSPT"	"WSPT"
"L62 : LAMINATE INSIDE DOOR LAVATORY, LAMINATE WALL INSIDE LAVATORY, LAMINATE DOOR COMUNICATION LAVATORY SCRATCH"	"WSCB"	"WSCB"
"SIM GALLEY 7 NOT INSTALLED 5EA"	"CBN"	"CBN"
"REFF AML SEQ.50(BOOK 2)PCCV ENGINE #1 TAKEN FOR PK-GNM"	"AP"	"AP"
"ALL RACEWAY COVER BROKEN"	"CBN"	"CBN"
"NLG AND DOOR NEED TO BE LUBRICATED"	"AP"	"AP"
"SPCU TAKEN FOR PK-GFJ AML SEQ.14"	"EA"	"EA"
"NEED RE-ASSESSMENT DFP #23 FUSELAGE SKIN BS 907-927 STR 21L-22L CORROSION"	"AP,STR,WSNC,WSPT"	"STR"
"NEED RE-ASSESSMENT DFP #48 FWD CARGO DOOR DENT"	"STR,WSPT"	"WSPT"
"NEED RE-ASSESSMENT DFP #59 SPOILER #6 LOWER SURFACE PUNCTURE"	"AP,WSNC,WSPT,WSSR"	"AP"
"FLASHLIGHT FWD ATTD WAS CRACK 1EA"	"CBN"	"CBN"
"INNER WATER DRAIN VALVE NEED TO BE REPLACED PN: L83A13-610 AT LH WINGAS CUSTOMER REQUESTED"	"AP,EA,NA"	"AP"
"LH WING INNER TANK WATER DRAIN OUTER VALVE FOUND LEAK 4EA"	"AP"	"AP"
"ATTD LIFE VEST POS AFT TAKEN FOR PK-GNP (3EA)"	"CBN"	"CBN"
"STRAP PBE POS AFT LH TAKEN FOR PK-GNP"	"CBN"	"CBN"
"REF CML SEQ C99 SEAT BELT 6A TAKEN FOR PK-GFL"	"CBN"	"CBN"
"REF CML SEQ C94 ROBBING LATCH ASSY LAVATORY POST LAV D"	"CBN"	"CBN"
"COFFEE MAKER TAKEN FOR A4O-DF POSITION 613PN: 4510-21UF-00 SN:T922169303"	"CBN"	"CBN"
"RH ACM ACCESS PANEL 192 ER FOUND CRACK AT CORNER"	"AP,WSPT,WSST"	"AP"
"LH WING FLAP TRACK #4 CARRIAGE BRACKET CRACK AT O/B SIDE"	"AP"	"AP"
"REF CML SEQ C91 CONTROL CABLE FILL AND DRAIN VALVE AT WATER SERVICING TAKEN FORSUPPORT PK-GQQ"	"CBN"	"CBN"
"FWD CARGO FLOOR PNL 131HG PUNCTURE"	"WSPT,WSST"	"WSPT"
"NEED RE-ASSESSMENT 6LS REPAIRS ON FS CROWN SKIN LOCATED STR 1L-3L STA 312-342, STA 380-400, STA 440-460, STA 480-500, STA 500D-500E, STA 500G NOT INCLUDE ON DB"	"CBN,STR,WSNC,WSPT"	"STR"
"FWD BELLY FAIRING AT PANEL 191AZ 4 EA RECEPTACLE CORROSION"	"AP"	"AP"
"SEALANT AT CARGO RAM POS RH AND LH BROKEN"	"AP,CBN"	"CBN"
"AFT CARGO FLOOR STRUCTURE RH TIE DOWN TTRACK BTW STA 727B-867 CRACKED 6 LOC RBL13.84"	"AP,STR,WSNC,WSPT,WSST"	"STR"
"AFT BAGGAGE BAY DOOR CUTOUT LOWER CORRODED"	"AP,STR"	"AP"
"ATTD SEAT 3LH SEAL BACKFRAME DETACHED"	"WSSS"	"WSSS"
"R/H WING REFUELING PANEL 622HB HEAD BOLT CORROSION 4EA ( VALVE ISOLATON-REFUEL)"	"AP"	"AP"
"FAK PN: S6-01-0005-306,SN: 11463 POS AFT LH LUG BIN FOUND EXPIRED 31 JAN2022"	"CBN"	"CBN"
"FWD BELLY FAIRING SUPPORT CORROSION AT Y1750 BETWEEN X14163.4 ANDX12432.4"	"NA,STR,WSPT"	"NA"
"AFT BELLY FAIRING SUPPORT FRAME CRACK AT FR 53,2 AND Y 953 ."	"AP,NA,STR,WSPT"	"AP"
"EXT SKIN RH HORIZONTAL STABILIZER UPPER SURFACE TRAILING EDGE CORROSION"	"STR,WSNC,WSPT"	"STR"
"NEED FABRICATE REPAIR WASHER FOR PYLON MOD"	"STR,WSST"	"STR"
"REF AML SEQ NO.49 FUSE 6KA TAKEN FOR SERVICE PK-GQP"	"EA"	"EA"
"EXTERNAL FUSELAGE SKIN BTW STA 196.5-203.8 STR 23R-24R PAINT PEEL OFF"	"WSPT"	"WSPT"
"FOUND MAIN WHEEL NO.3 DEEP CUT AND SPOT"	"AP,CBN"	"CBN"
"RADOME RUBBER BOOT PAINT PEEL OFF"	"EA,WSNC,WSPT,WSSR"	"EA"
"FLOOR PANEL STA 400-420LH WAS DELAMINATE ON SURFACE"	"CBN,WSST"	"CBN"
"WX RADAR FAIL ON TEST"	"EA"	"EA"
"RH HORSTAB LOWER PANEL PLATENUT BROKE 1EA AT ELEVATOR STA. 256.8"	"STR"	"STR"
"AML REQ 50: RH COMPRESSOR DISCHARGE OVERHEAT SWITCH TAKEN FOR PK-GNA"	"EA"	"EA"
"ENG #1 OUTBD T/R POWER OPENING DEVICE (POD) FITTING DAMAGE"	"WSST"	"STR"
"BATT INDICATOR LIGHT OF FLASHLIGHT NOT ILL, POS: 1R(INBOARD), 3L, 2R FWD"	"CBN"	"CBN"
"BULK CARGO DOOR BLANKET WAS BROKEN"	"AP,WSPT,WSSR"	"AP"
"SOME LAV PLACARD WASH BASIN NON READABLE"	"WSPT"	"CBN"
"FWD CARGO FLOOR PUNCTURE STA 460-560 CTR"	"AP,WSPT,WSST"	"AP"
"FWD CARGO PDU CRACK INSIDE GEAR POST STA 900 RH"	"AP"	"AP"
"ENG #1 SPINNER FRONT CONE DISCOLORATION (TECHREP FINDING)"	"AP,Repair Eng/APU Chemical Cleaning,Repair Eng/APU Material Painting"	"AP"
"FWD CARGO DOOR LIFT LINK FASTENER LOOSE"	"AP"	"AP"
"MAIN WHEEL NO #3 SPOT"	"AP"	"AP"
"FWD CARGO NYLON TAPE BAD CONDITION (4""=10EA 2""=6EA)"	"AP"	"AP"
"LH WING FIXED L/E PANEL NEAR UPPER PYLON #1 FOUND CRACK AT FASTENERSHOLE"	"STR,WSPT,WSST"	"STR"
"ENG#2 INB AND OUTB FAN COWL LOWER SEALS HAVE TEAR OFF 2 EA"	"AP"	"AP"
"ENG#1 INB AND OUTB FAN COWL HOR SUPPORTS HAVE DAMAGE 4 EA"	"AP"	"AP"
"CENTER WING TANK ACCESS PANEL HIREX BROKE 15EA"	"AP"	"AP"
"BOLT FASTENER DOOR ESCAPE SLIDE D1R UNPROPERLY INSTALL"	"CBN"	"CBN"
"BOTTOM SEAT COVERS FOUND STAIN POSITION 52C,40F,43F,44F,47F,49F,45D,39E,45E, 48E,51E,59F,61G,68G, 68F, 70F,68A,69C,67D,60E (QTY: 20EA)"	"CBN,WSLS"	"CBN"
"REM CML SEQ C36 ""UNUSUAL SOUND DETECTED SHORTLY AFTER T/O NEAR FA1STATION ANDAFT SEVICE DOOR ,SOUND DISAPPEARED WHEN A/C IS LEVEL OFF"""	"CBN,EA"	"CBN"
"FWD CARGO SIDEWALL 131 TW PUNCTURE"	"AP,WSPT,WSST"	"AP"
"FMC CDU POS RH TAKEN FOR PK-GNE"	"AP,EA,NA"	"AP"
"BILGE DRAIN VALVE HAS MISSING AND BAD CONDITION 10 EA"	"AP"	"AP"
"RH AFT LONGERON FITTING HI LOCK NOT INSTALLED 2EA STA 1480"	"STR"	"STR"
"FWD CARGO LOWER LOBE SKIN STA 760-780 RH SIDE PAINT PEEL OFF"	"WSPT"	"WSPT"
"CREW LIFE VEST MISSING QTY: 2EA"	"CBN"	"CBN"
"FWD CARGO SIDEWALL LH#4 TEAR"	"AP,STR"	"AP"
"EXT FL SKIN FR 63 STR 44-43R LIGHTNING STRIKE"	"STR,WSNC,WSPT"	"STR"
"EXT FL SKIN FR 29 STR 44 - 43R LIGHTNING STRIKE"	"STR,WSNC,WSPT"	"STR"
"FOUND FIXED ELT PN : 1152682-2 | SN : 1152682-05846 NEED VISIT SHOPBEFORE 08 FEB 2022"	"EA"	"EA"
"LOWER FUSLAGE BIILGE DRAIN VALVE HAS BROKEN 10 EA"	"AP"	"AP"
"RH MLG WHEEL NO 11 FOUND DEEP CUT"	"AP"	"AP"
"ENG 3 RH INNER FAN COWL RUB PLATE DELAMINATION"	"WSST"	"WSPT"
"RH WING SLAT PANEL 621 FB EROSION"	"WSNC,WSPT,WSST"	"WSNC"
"INSIDE DOOR COMPT.622 AND 624 PEEL OFF"	"WSSS"	"WSSS"
"LUGGAGE BIN DOOR 51D WAS DENT AND 87C (B"	"WSCB,WSSS"	"WSCB"
"1 EA CAP SCREW OF COCKPIT PANEL 212JC FOUND NOT INSTALLED"	"CBN"	"CBN"
"MID CABIN FR 46 - 53.2 Y1959 SEAT TRACK"	"STR,WSNC,WSPT"	"STR"
"TABLE CRACK POS. 1DF, 16DEF, 17DEF, 15EF"	"WSSE"	"WSSE"
"ALL TABLE NEED ADJUSTMENT"	"WSSE"	"WSSE"
"DEMO FLT PHASE CRUISING : MSG FLAG ON F/"	"EA"	"EA"
"FOOTREST DISCOLORATION CAPT & FO"	"WSSS"	"WSSS"
"LH ELEVATOR T/E LOWER SURFACE FILLING CO"	"WSPT,WSST"	"WSPT"
"PLUG COVER SCREW SUPPORT ARM NOT INSTALL"	"CBN"	"CBN"
"LH WING REAR SPAR WS 680 ANGLE BRACKET"	"STR,WSPT"	"STR"
"ENG#3 RH T/R SCREW NOT FLASH"	"AP,NA,STR"	"AP"
"AFT BELLY FAIRING PANEL 197HB 7 EA SCREWS AND WASHERS DAMAGE"	"AP"	"AP"
"SCREW STUCK AT SCUFFPLATE DOOR 3L,3R,4L,"	"CBN,STR"	"CBN"
"SEAL DOOR FCRC TEAR OFF"	"CBN"	"CBN"
"FWD CARGO SIDEWALL 132 UW PUNCTURE"	"WSPT,WSST"	"WSPT"
"FWD CARGO SIDEWALL 132WW PUNCTURE AND DE"	"WSPT,WSST"	"WSPT"
"ATTD SEAT DOOR AFT GALLEY RH PAINT DISCOLORATION"	"CBN,WSSS"	"CBN"
"FWD CARGO LIGHT COVER CRACK (FR. C30)"	"EA"	"EA"
"FWD CARGO PARTITION PANEL 132DX DELIMITA"	"WSPT,WSST"	"WSPT"
"FWD CARGO RETAINER STUD FOR PARTITION PA"	"AP"	"AP"
"FWD CARGO BALLMAT PANEL 131 HF SPRING BA"	"WSST"	"WSST"
"FAUCET L11 FOUND LEAK"	"CBN"	"CBN"
"LENS OF MIRROR LIGHT POSITION L64 NOT PROPER INSTALL"	"CBN"	"CBN"
"251MG FLOOR PANEL FOUND SCRATCH"	"CBN,WSST"	"CBN"
"ENG #2 TAKEN FOR PK-GPS"	"AP"	"AP"
"FWD CARGO FLOOR PANEL 132 EG PUNCTURE"	"WSPT,WSST"	"WSPT"
"271CF FLOOR PANEL FOUND SCRATCH AND REDO"	"CBN,WSST"	"CBN"
"271FF FLOOR PANEL FOUND SCRATCH AND DENT"	"CBN,WSST"	"CBN"
"271MF FLOOR PANEL FOUND SCRATCH AND DELA"	"CBN,WSST"	"CBN"
"FLOOR PANEL 251DF SEVERE LARGE SCRATCH"	"CBN,WSST"	"CBN"
"FOUND FLEXYBLE HOSE BROKEN AT HEAT EXCHANGER NGS"	"EA"	"EA"
"PACK 3 TRIP MSG 21774"	"EA"	"EA"
"READING LIGHT SWITCH AT DOOR FRAME LINNIG DOOR 4RH FOUND LOCK BROKE."	"CBN"	"CBN"
"EMERGENCY LIGHT SWITCH COVER ON FAP FOUND NOT INSTALLED"	"CBN"	"CBN"
"242SF FLOOR PANEL DEEP SCRATCH"	"CBN,WSST"	"CBN"
"1EA SCREW OF COVER DOOR BARRIER STRAP NOT INSTALLED POSITION DOOR 4RH"	"CBN"	"CBN"
"STUD UPPER ENTRY PANEL FOUND NOT INSTALLED POSITION DOOR 2LH"	"CBN"	"CBN"
"SCREW OF LENS WORKLIGHT FOUND CORROSION 6EA POSITION GALLEY 4"	"CBN"	"CBN"
