"DESCRIPTION","SKILL","SKILL_ACTIVE","TARGET"
"RH H/E PRIMARY PLENUM HAS DELAMINATION","EA,WSSR,WSST","EA","1"
"BONDING CABLE AT TEMPERATURE CONTROL VALVE LH SIDE WAS BROKE 1 EA","EA","EA","1"
"ENG #1 LH FAN COWL INNER SKIN MOTED WITH DISBOND AT THE 10 O'CLOCK AFT LOCATION12""X12""","AP","AP","0"
"ENG #1 LH FAN COWL FWD HOR INNER STRUT NOTED AS WORN","AP","AP","0"
"LH FWD FUSELAGE-SAUDI NATIONAL FLAG CRAC","WSPT","WSPT","4"
"LH BLG OUTBD STRUT DOOR GROUND HERE DECA","AP,WSPT","AP","0"
"RH BLG WHEEL WELL STA 1480 CLAMP BRACKE","AP,STR","AP","0"
"BULK CARGO COMPT.DOOR PRESSURE SEAL DRAI","AP","AP","0"
"LAVATORY - ALL LAVATORY NURSING TABLE &","CBN,NA,WSCN,WSSS","CBN","2"
"ACCESS PANEL 192HR SUPPORT ROD-LOCK CRAC","AP,STR","AP","0"
"HEAT EXCHANGER #3 BOLT MISSING 1 EA","EA","EA","1"
"BOLT CONTROL MODULE LAV NOT INSTALL 3EA","CBN","CBN","2"
"FWD FAP PANEL FOUND STUD BROKEN","CBN","CBN","2"
"CEILING LIGHT ABOVE 4ABC NOT ILLUMINATE","CBN","CBN","2"
"DOOR TEFLON POS AFT LH (FRONT CORNER & R","CBN","CBN","2"
"G5 - T PROFILE TROLLEY DIVIDER COMPARTME","CBN","CBN","2"
"DOOR FRAME 1RH 222BW, 222AW, 222EW,222DW","CBN,WSCB,WSSS","CBN","2"
"NET DOOR TYPE A P/N AC40-0227213 TEAR OF","AP","AP","0"
"AFT CABIN SERVICE DOOR GIRT BAR BASE AFT","STR","STR","3"
"ENG#1 RH T/R LOWER HEAT BLANKET NOTED WITH PREVIOUS REPAIRS 4.5""x3""","NA","NA","8"
"ENG#1 RH T/R AFT CASCADE RING NOTED WITH WORN ATTACHMENT BRACKET AT THE LOWER LOCATION","NA","NA","8"
"MAIN DECK CABIN FLOOR SUPPORT/ OMEGA COR","AP,CBN,STR","AP","0"
"LH AND RH DOWNSTREAM GASKET BROKEN","EA","EA","1"
"EMERGENCY LIGHT DOOR MOUNTED CAN NOT STA","CBN","CBN","2"
"DIRECT CEILING NOT COMES POST UPPER STAI","CBN","CBN","2"
"LOWER ELEVATOR AUTO PILOT ACTUATOR HAS LEAKS FROM SHAFT","AP,EA","AP","0"
"AFT CARGO LH SIDEWALL #3TEAR","AP,STR","AP","0"
"FWD CARGO RH SIDEWALL#1 TEAR","AP,STR","AP","0"
"AFTER CHECK FOUND SPEAKER NOT SOUND POST","CBN","CBN","2"
"ENG#1 BRACKET TUBE NEED CLAMP","AP","AP","0"
"HEAT EXCHANGER NO 2 LOWER GASKET BAD CON","EA,NA","EA","1"
"ENG#1 PRE-COOLER DUCT RIVET BROKEN 4 EA","WSST","WSST","9"
"FOUND 2EA BONDING AT RH FLAP FAIRING #3","AP,EA","AP","0"
"ENG#2 RH T/R EXTERNAL PROTECTIVE COATING","WSPT","WSPT","4"
"CURVE UPPER WALL LAVATORY L54 PAINT PEEL","WSCB,WSSS","WSCB","9"
"ENG#1 RH FAN COWL LOWER LATCHES NOTED WI","WSPT","WSPT","4"
"BUSHING ON FLOOR PANEL STA 1300-1340 5 L","CBN,WSST","CBN","2"
"RH WING KRUEGER #15 LOWER HINGE PANEL WA","AP,STR,WSNC,WSPT,WSST","AP","0"
"DADO PANEL NEAR DOOR 5LH BROKEN","CBN,WSPT,WSST","CBN","2"
"ENG#2 I/B THRUST REVERSE WEARPAD MISSING 2EA","WSST","WSST","9"
"HYD RSVR PRESS 4 ON STATUS","EA","EA","1"
"Section 44, STA537.45~STA706.05 - Cabin","CBN,WSSR","CBN","2"
"Section 44, STA537.45~STA706.05 - Cabin Floor Panel was damaged(144A5810-126)","CBN,WSSR","CBN","2"
"Section 44, STA706.05~STA727B - Cabin Floor Panel was damaged (144A5810-123)","CBN,WSSR","CBN","2"
"ENG #4 NOSE COWL PAINT EROSION","WSPT","WSPT","4"
"ENG #4 RH T/R HINGE BLOKER DOOR OVER PLAY POST 05.00 OCLOCK","AP,WSST","AP","0"
"LWR FUSELAGE BRACKET OF B/F CORROSION 3E","STR","STR","3"
"OUTSIDE SCREW SCUFFPLATE DOOR #3 RH WAS","CBN,STR","CBN","2"
"LH WING RIB PANEL 541 AZ & 541 BZ NEED RE SEALANT","AP,STR","EA","1"
"ENG#3 INNER FACE OF LH CORE COWL FOUND C","AP,WSST","AP","0"
"AFT CARGO COMP. FRAME SPLICE AT STA 727G STR 24R - 25R CORRODED","STR","STR","3"
"LH NLG DOOR BONDING CABLE BROKEN","AP,EA","AP","0"
"ENGINE NO. 1 FWD ACOUSTIC PANEL PAINT PE",,,"9"
"APU IGNITER PLUG OUTER SHELL HAS BURNED",,,"9"
"ARRAGMENT ALL PSU AND FILLER AFTER REPOS",,,"9"
"EXT FS SKIN BTW FR 727J - 767 STR 22R - 23R MULTIPLE SCRATCH","STR,WSNC,WSPT","STR","3"
"BRAKET ON YELLOW ELECTRICAL MOTOR PUMP H",,,"9"
"HORSTAB AREA FOUND HYD TUBE CLAMP MELTING 20EA","AP","AP","0"
"LESSOR FINDING - EVALUATE SCRATCH MARK O","WSPT,WSSR","WSPT","4"
"FWD BELLY FAIRING PANEL 191AZ 5 EA RECEP","AP,STR","AP","0"
"LATCH HANDLE WASTE CONTAINER DOOR FWD GA","CBN","CBN","2"
"ESCAPE SLIDE COVER POST DOOR FWD RH PAIN","CBN,NA,WSCN,WSSS","CBN","2"
"RH WING L/E UPPER SURFACE BETWEEN ROOT AND PYLON #3 HEAD RIVET BROKEN 2EA","STR","STR","3"
"DECORATIVE FOAM FWD COAT ROOM BROKEN","CBN","CBN","2"
"RAT PRESSURE WITH HTC PRESS 2610PSI AND FLOW 60l.min UNDER LIMIT 1448PSI(REQUIREMENT 1885 +/-290PSI)","AP","EA","1"
"READING LIGHT NOT COMES ON POST 5C,11E,30C,36C,37D,30K,47C,49AF,46DEFG,41F,43K,46G,54C,55A,59C,57AB,61ABC,62ABC,64G,59DEFG,60DEFG,57HJK,57G,63HJK,62H,U/D 21HK","CBN","CBN","2"
"LENS COVER OF WINDOW REVEAL LIGHT POST U/D 21HK NOT INSTALL","CBN","CBN","2"
"PYLON NO.1-HYD COMPT RH DOOR SKIN AFT PA","WSPT","WSPT","4"
"FWD CARGO DOORSILL RESTRAINT MISSING AT STA 640","AP","AP","0"
"LH WING KRUEGER ALL TEFLON SEAL BROKEN","AP","AP","0"
"FWD CARGO PLACARD UPER SIDEWALL STA 700 P/N BAC27ECA-56 MISSING","AP,WSPT","AP","0"
"DOME LIGHT COVER ON 22LS DIRTY","EA","EA","1"
"ENG#3 RH T/R EXTERNAL SURFACE PAINT PEEL OFF","WSPT","WSPT","4"
"P.O.B POST 3LH EXPIRED (PN: 9700-C1A-BF20B,SN: 346398)","CBN","CBN","2"
"HALON FIRE EXT AT COCKPIT EXPIRED (PN: 898052, SN: W-575114)","CBN","CBN","2"
"P.O.B UPPER DECK LH EXPIRED (PN: 9700-C1A-BF20B, SN: 18726W)","CBN","CBN","2"
"ENG NO.1-RH TREV SLEEVE SKIN COATING CRA","WSPT","WSPT","4"
"LIFE VEST EXPIRED 1EA (PN: 63600-101) POST:39J","CBN","CBN","2"
"COVER ASSIST HANDLE BROKEN AT DOOR 1LH (","CBN","CBN","2"
"RH BLG MAIN WHEEL #12 DEEP CUT","AP","AP","0"
"ENG #1 LH T/R UPPER BLOCKER DOOR BEARING NOTED AS WORN AT BOTH LOCATIONS","NA","NA","8"
"LANDING GEAR- RH WLG W/W RH CCA ACTUATOR","AP","AP","0"
"LANDING GEAR- RH WLG OUTB W/W DOOR RUBBE","AP,STR","AP","0"
"LANDING GEAR- RH WLG W/W FWD FIX PANEL L","AP,STR","AP","0"
"ENG #2 PLACARD OF RH FAN COWL BROKEN","AP,WSPT","AP","0"
"DOOR FRAME DOOR 3 261RX, 262RX, 261SX PA","CBN,WSCB,WSSS","CBN","2"
"REAR BULKHEAD NOTED WITH FLAKING PAINT A","WSPT","WSPT","4"
"SNUBBER DOOR LAVATORY L54 WEAK","CBN","CBN","2"
"RH INBOARD AFT FLAP LWR SURFACE DENT","WSNC,WSSR","WSNC","7"
"ENG#2 IP BLEED VALVE ANTI ROTATION PIN W","AP","AP","0"
"READING LIGHT NOT COMES ON POST 72 DEFG","CBN","CBN","2"
"ENG#1 PRE-COOLER DUCT ADJUSTABLE LINK OV","AP","AP","0"
"ENG#1 ACCUSTIC PANEL POS 1 O''CLOCK WIRE","AP","AP","0"
"ATTD SEAT ON DOOR 4 LH PAINT SCRATCH","CBN,WSSS","CBN","2"
"ATTD SEAT ON DOOR 4 RH PAINT SCRATCH","CBN,WSSS","CBN","2"
"ATTD SEAT AFT LH, ALL OF SEAT COVER DIRT","WSLS","WSLS","9"
"ATTD SEAT AFT RH, BUSHING LAPBELT MISSIN","WSSS","WSSS","5"
"LH WING FIX FAIRING FLAP SUPPORT #3 EROD","WSPT,WSSR","WSPT","4"
"RH ELEVATOR INSPECTION HOLE COVER BROKEN 6 EA","AP,WSPT","AP","0"
"ALL SEATS BELT PASS SEAT DIRTY","CBN,WSLS","CBN","2"
"SCREW FOR INSTALLATION CENTER LINING NOT","CBN","CBN","2"
"OBSERVER HANDMIC PUSHBUTTON STICK PUSHED","EA","EA","1"
"PAINT OF INSIDE STOWAGE AMENITIES DISCOL","CBN,WSCB,WSSS","CBN","2"
"ASHTRAY ON INSIDE DOOR LAVATORY NOT INST","CBN","CBN","2"
"STRUT#1 FAIRING PANEL 451B UPPER POSITIO","WSPT,WSST","WSPT","4"
"ENG#2 PLAT OF LH CORE COWL UPPER POSITIO","AP,WSST","AP","0"
"RH WING KRUEGER #14 SEAL TEAR OFF","AP","AP","0"
"Section 43, STA480~STA500B - Cabin Floor Panel was damaged (143A5810-33)","CBN,WSSR","CBN","2"
"Section 43, STA500E~STA500H - Cabin Floor Panel was damaged (143A5810-147, LHSIDE)","CBN,WSSR","CBN","2"
"Section 46, STA727F~STA727J - Cabin Floor Panel was damaged (146A5810-34","CBN,WSSR","CBN","2"
"AFT CARGO DOOR SEMI-AUTOMATIC DOORSILL RESTRAIN BROKEN 1EA STA.1900","AP","AP","0"
"ALL OF THE LEATHER MAGAZINE POCKETS HAVE",,,"9"
"TISSUE HOLDER PANEL UNDER MIRROR POS. L11 & L61 WERE CRACKED",,,"9"
"LH WING MOVEABLE FLAP TRACK#2 BEARING FO",,,"9"
"HARNESS AT LH WING FLAP TRACK #4 NOT PROPER REPAIR",,,"9"
"UPPER FUSELAGE FOUND RIVET HEAD LIGHTNIN","NA,STR,WSNC","NA","8"
"POTABLE WATER SERVICE PANEL BONDING CABLE BROKEN 2 EA",,,"9"
"LH WING O/B FLAP ROLLER TRACK FOUND CHAFING",,,"9"
"WALL OUTSIDE L62 LOWER SIDE LAMINATE PEELED OFF",,,"9"
"AFT LH LAST ROW LUGG.BIN FRAME FOUND BRO",,,"9"
"FWD CABIN FIRST ROW CARPET DIRTY",,,"9"
"CABIN CEILING PANEL POST 27 DEF FOUND PE",,,"9"
"BULK CARGO COMPT.FLOOR 171EF NEED REPAINT",,,"9"
"BULK CARGO COMPT.FLOOR 161 CF PUNCTURE A",,,"9"
"NUMEROUS PLACARDS AT CREW SEATS WERE PEELED OFF AND TORN",,,"9"
"FLOOR PANEL POS. C53.2-C53.4 3 RH WAS SC",,,"9"
"AFT CARGO COMP. SIDEWALL PANEL 151 JW DE",,,"9"
"EXTERNAL FUSELAGE SKIN FASTENER LIGHTNIN",,,"9"
"ATTENDANT SEAT POS. INBOARD 1LH PAINT PE",,,"9"
"B1.C06 SCREW LOUVER MISSING POST LAV L11",,,"9"
"SERVICE LIGHT AT AVIONIC COMPT NOT ILLUM",,,"9"
"SERVICE LIGHT AT AIRCONDITIONER BAY NOT",,,"9"
"FWD CARGO BALL TRANSFER HAS BROKEN 1EA",,,"9"
"LH WING LEADING EDGE PANEL RECEPTACLE B",,,"9"
"TRIM ICE DRAWER G1F11 NOT PROPER",,,"9"
"CABLE SEAT TO SEAT POS.45HK 1EA NOT PROPER INSTALLED.","CBN","CBN","2"
"FWD CARGO DOOR GREEN OPEN LOCK LIGHT NOT",,,"9"
"FITTING-LUBRICARION OF AFT CARGO ECCENTR",,,"9"
"FWD CARGO TRANSPORT ROLLER HAS BROKEN 1E",,,"9"
"PAX SEAT ARM REST DIRTY",,,"9"
"AFT CARGO SIDEWALL RH UPPER #4 HAS TEAR",,,"9"
"ENG #1 VORTEX GEN SEAL HAS DAMAGE",,,"9"
"B1.C47 HANDLE AT DOOR FRAME 271HW NOT PR",,,"9"
"BONDING CABLE AT PANEL 193 FB BROKEN",,,"9"
"HYDROLOC PASS.SEAT POST 40H NOISY","WSSE","WSSE","9"
"FWD CARGO SIDEWALL RH #2 HAS TEARS","AP,STR","AP","0"
"ALL INSIDE WINDOW REVEAL DIRTY","CBN","EA","1"
"PRECOOLER PANEL ENG#1 FOUND CRACK AT SEVERAL PLACES","AP,WSST","AP","0"
"COVER READING LIGHT MISSING AND BROKE PO","CBN","CBN","2"
"LH MLG DOOR BRACKET-STOP P/N: F528105342","NA,STR,WSNC","NA","8"
"FWD CARGO DOOR CUT-OUT SCRATCHED AT FR.2","STR,WSNC,WSPT","STR","3"
"AFT CARGO UPPER SIDE WALL STA 1800 TEAR","AP,STR","AP","0"
"R/H WING SLAT PANEL 623 LB EROSION","WSNC,WSPT,WSST","WSNC","7"
"LH WING SLAT PANEL 522 CB EROSION","WSNC,WSPT,WSST","WSNC","7"
"FWD CARGO CEILING PANEL 131EC DENT","WSPT,WSST","WSPT","4"
"L/H WING SCANING LT LOWER SIDE NOT ILL","EA","EA","1"
"ENG #2 HIGH STAGE VALE SENSING LINE HAS","AP","EA","1"
"LH WING FIXED FAIRING #2 FWD SIDE HAS ER","WSPT,WSST","WSPT","4"
"ENG #2 RH FANCOWL BUMPER PLATE CHAFING 3","WSST","WSST","9"
"LH WING MOVABLE #2 O/B SIDE INNER SKIN R","WSST","WSST","9"
"LH CLOCK TAKEN FOR PK-GRI","EA","EA","1"
"ENG #1 LH CORE COWL BRACKET ROD END CHAF","AP,WSST","AP","0"
"FWD CARGO SIDEWALL STUD HEAD BAD CONDITI","AP","AP","0"
"PYLON #2 PANEL 462 BL SURFACE ABRASION","AP,WSNC,WSPT,WSST","AP","0"
"NLG WW RH AFT CORNER RUBBER SEAL TORN","AP","AP","0"
"PANEL 121EL BONDING BROKEN","EA","EA","1"
"LH MLG DOOR FWD LIP NEAR DOOR STOP FITTING NO.1 WAS BEND 30MM APPROX.","AP,WSST","AP","0"
"G#511 BEV. MAKER TRIM CHAFFING","WSCN","GAH402C1","9"
"RH FUSELAGE SKIN CHAFING 10 PLACES BTW F","NA,STR,WSNC,WSPT","NA","8"
"RH FUSELAGE SKIN CHAFING AT 2 PLACES BTW","STR,WSNC,WSPT","STR","3"
"REF ADD MISSING HEAT INSULATION AT ZONE","EA","EA","1"
"O RING OF PLS WERE TORN 8 EA","CBN","CBN","2"
"LAVATORY SHROUD L35,L36<(>,<)>L53<(>,<)>","CBN,WSCB,WSSS","CBN","2"
"ADD- ENG#2 ERODED PAINT AT PANEL 462CL","AP","AP","0"
"(FINDING LESSOR) LH (for infant Life Vest) and RH Most Fwd Compartment doors hitagainst ceiling panel when springing open","CBN","GAH402C1","9"
"ENG 2 O/B T/R T/E FAN DUCT OUTER WALL FOUND EROSION","WSSR","WSSR","9"
"PYL 2 LH HYD BAY DOOR SKIN FOUND ABRADED","WSPT,WSST","WSPT","4"
"RH WING O/B FLAP BULB SEAL AT O/B SIDE HAS TEAR","AP","AP","0"
"RH MLG PITCH TRIMMER LEAK","AP","AP","0"
"BLUE HYD COMP LP MANIFOLD 6005 JM LEAK","AP","AP","0"
"LESSOR FINDING - RUD TRIM PANEL - CONTROL KNOB WITH PAINT FLAKED","EA,WSPT","GAH402E1","9"
"YELLOW HYD COMP HP MANIFOLD 7103JM BLACK","AP","AP","0"
"REF PFR TIRE PRESS XMTR (9GV1)/ TPIC (2G","EA","EA","1"
"ENG#2 LAPF SPRING FOUND CRACK","AP","AP","0"
"STRIP COVER DOOR COCKPIT UPPER CRACK","CBN","CBN","2"
"FLOOR PANEL STA1220-1260 LH BROKEN","CBN,WSST","CBN","2"
"DOOR LAVATORY L11 LAMINATE PEEL OFF","CBN,WSCB","CBN","2"
"AFT RH PRESSURE SEAL DOOR FOUND TEAR OFF","CBN","GAH402C2","9"
"(LESSOR FINDING) Galley 1 - bottle opener with signs of corrosion and surrounding laminate stained with blue ink","WSCN","W402","9"
"LESSOR FINDING - ERROSION FOUND ON TOP SURFACE ALONG THE MID PORTION OF IB MOSTLE SLAT (LHW)","WSPT,WSSR","W305","9"
"TOILET ASSY LAVATORY WERE VERY DIRTY IN","CBN","CBN","2"
"LAVATORY DOOR LAMINATE IS DELAMINATION I","CBN,WSCB","CBN","2"
"RH WING FLAPERON SUPPORT FAIRING RUBBER","AP","AP","0"
"RH WING TANK PANEL 641 BB O-RING AND GASKET BROKEN","AP,STR","AP","0"
"RH WING TANK PANEL 650 CB O-RING BROKEN","AP,STR","AP","0"
"PISTON TYPE DRAIN VALVE CRACK 6EA","AP","AP","0"
"LH NLG DOOR BONDONG BROKEN 1EA","AP,EA","AP","0"
"AFT CRG BRACKET LIGHT CORROSION AT STGR 57LH BTW FR 54-55","STR","STR","3"
"BULK CARGO STRINGER 57 CORROSION BETWEEN FR.72 - FR.73","NA,STR,WSPT,WSST","NA","8"
"X FEED VLV MOTOR 2 FAIL TO OPEN","EA","EA","1"
"#4 PYLON INBD TRAILING EDGE DOOR FWD BLOWOUT PANEL LOOSE","AP,NA,STR","AP","0"
"LH WING MOV CANNOE #1 DRIVE LINK BEARING","AP","AP","0"
"RH WING REFUELING PANEL LAMP NOT ILLUMIN","EA","EA","1"
"MD SIDE CARGO REPRESSOR SEAL WAS BANT AT","STR","STR","3"
"C-CLASS SEAT POS. 3E,3B,3D,1D,2JK FAIRING BACKSHELL DENT AND SCRATCH",,,"9"
"LH ENGINE PRECOLLER UPPER FLANGE HAS BRO",,"AP","0"
"AFT CARGO BALLMAT PANEL 152DG SCREW BROKEN 5EA",,,"9"
"FASTENER BOLT AFT RH HEADREST ATTD SEAT","CBN","CBN","2"
"AFT CARGO RH PROFILE CORNER BTW FR 48-FR","NA,STR,WSPT","NA","8"
"AFT CARGO PROFILE ASSY FR 56, BTW STGR 3","NA,STR,WSPT","NA","8"
"CUP HOLDER UNPROPER INSTALL POST, 20A","WSSE","WSSE","9"
"RH PYLON AFT LOWER AFT FIX FAIRING RIVET","AP,STR,WSSR","AP","0"
"BONDING CABLE AT FWD L/H NLG DOOR TEAR O","EA","EA","1"
"FOUND GASKET KNITED TANK PANEL 640AB BRO","AP","AP","0"
"LH OB AILERON LOWER SURFACE SKIN PAINT P","WSPT","WSPT","4"
"ALL ESCAPE SLIDE COVER PAINT DISCOLORATI","CBN,WSCB,WSSS","CBN","2"
"SCREW OF EXTERNAL HANDLE PAX ENTRY DOOR","CBN","CBN","2"
"VERSTAB LEADING EDGE 322CL EROSION","WSPT,WSSR","WSPT","4"
"PYLON PANEL 481AL EROSION","AP,WSPT,WSSR","AP","0"
"LAV E DOOR LAMINATE BAD CONDITION","CBN,WSCB","CBN","2"
"ENG #2 CNA RIVET LOOSE 2 EA POST 06.00 0","WSPT,WSST","WSPT","4"
"ENG#2 OIL TUBE DENT AT 2 PLACES NEAR GRE","AP","AP","0"
"REFF ADD 1552498 - MAINT. ENTRY 10ABC OU","CBN,WSCB,WSSS","CBN","2"
"ALL LAVATORY HANDLE PAINT DISCOLORATION","WSCB,WSSS","WSCB","9"
"SOME OF PSU PLACARD READING LIGHT BAD CO","CBN,WSPT","CBN","2"
"AFTCSERVICE DOOR LAMINATE SCRATCH","CBN","CBN","2"
"LH HORSTAB TIP PANEL AT STATIC DISCHARGE","AP,WSPT,WSSR","AP","0"
"LH WING MOVABLE CANNOE #2 LWR SIDE SOME","AP,WSPT,WSST","AP","0"
"WASTE TANK COMPARTMENT BETWEEN FR.76-77","EA","EA","1"
"BLACK LINE, BLACK ARROW AND OTHERS AT","WSPT","WSPT","4"
"ELBOW BELOW WHEEL WELL AREA FOUND LEAK","AP","AP","0"
"FRAME 4th OCCUPANT SEAT PAINT PEEL OFF","WSSS","EA","1"
"BONDING AT RH SPOILER N0 1, 2, 3, 4 AND","EA","EA","1"
"REFF ADD 1995745 - MAINT. ENTRY 16AB SID","WSSS","WSSS","5"
"LEAD BONDING AT RH FLAP TRACK FAIRING #2","EA","EA","1"
"ENG #2 CNA LOWER SEAL BROKEN","AP,WSSR","EA","1"
"WALL GALLEY 1 (F12, F13, F14) DIRTY","CBN","CBN","2"
"GALLEY 2 CB WORK LOGHT BROKEN","CBN","CBN","2"
"ALL SAFETY WALK PAX DOOR BAD CONDITION","CBN","CBN","2"
"FWD CARGO PDU BELT BROKEN STA.820-860 LH","AP","AP","0"
"FWD CARGO PDU BELT BROKEN STA.920-960 LH SIDE","AP","AP","0"
"DIFFERENTIAL PRESSURE SWITCH TAKEN FOR PK-GPF","EA","EA","1"
"LH BELLY FAIRING AT FR 34 PLAT CLOSING CRACKED","STR","GAH402S1","9"
"GRND ELECT PANEL BONDING CABLE FRAYING 1EA","EA","GAH402E1","9"
"AFT CARGO COMP. FRAME SPLICE AT STA 727I STR 24R - 25R CORRODED","STR","STR","3"
"EXT FS SKIN BTW STA 380 - 400 STR 23R - 24R DENT","NA,STR,WSNC",,"9"
"ENGINE #2 I/B FAN COWL IDG ACCESS PANEL","AP","EA","1"
"FLAP FAIRING #7 BULB SEAL BROKEN I/B & O/B SIDE","AP",,"9"
"ENGINE NO.2 ABRADABLE MATERIAL GOUGED AT",,,"9"
"EXT F/S AT STA 887 AND STGR 23R-25R COROSION","AP,NA,STR,WSNC,WSPT",,"9"
"RH WING AILERON HINGE COVER PANEL PLATE","STR","STR","3"
"LEAD BONDING FUEL TANK 640JB HAS BROKEN",,,"9"
"PK-GLC NEED FABRICATE RUDDER NAME PLATE","WSST","EA","1"
"LH HORSTAB LOWER SKIN BTW LE STA 95.96 - 105.26 EROSION AT FASTENER HOLES","WSPT,WSSR","EA","1"
"VERTICAL FIN TIP PAINT PEEL OFF","WSPT","EA","1"
"RING SEALING RH FUEL TANK PANEL 640JB HA",,,"9"
"EXT FUSELAGE SKIN BTW FR 400 - 420 STR 21 LIGHTNING STRIKE","NA,STR,WSNC,WSPT","NA","8"
"LH WING TO BODY FAIRING LOWER SURFACE EROSION","WSPT,WSSR",,"9"
"EXT FUSELAGE SKIN BTW STA 767 - 787 STR 26R - 27R SCRATCH","STR,WSNC,WSPT","STR","3"
"Passenger door support wheel hook lock taken for PK-GRT","AP","AP","0"
"REF AML SEQ 92: RH TRIM AIR PRESSURE REG","EA","EA","1"
"EXTERNAL POWER PANEL LATCH SPRING BROKEN 3 EA","AP,STR",,"9"
"FAN COWL ENG #2 VERY DIRTY","AP",,"9"
"ENG #2 IDG OIL SERVICE PANEL LATCH SPRING BROKEN 1 EA","AP",,"9"
"AROUND VACUM BLOWER OUTLET SKIN CORROSION","STR",,"9"
"HOOK SEAT PAN BROKEN, POST<(>,<)> 10C, 1","WSSE","WSSE","9"
"SWAP BOOST PUMP MOTOR IMPELLER BETWEEN A","AP","AP","0"
"PYLON #2 PNL 462CR RUBBER SEAL TEAR OFF","AP","AP","0"
"RH WING SLAT PANEL 623NB ERROSION","AP,WSNC,WSPT,WSST","AP","0"
"LH WING SLAT PANEL 522LB EROSION","AP,WSNC,WSPT,WSST","AP","0"
"LH WING SLAT PANEL 522NB DELAMINATION","AP,WSNC,WSPT,WSST","AP","0"
"LH WING SLAT PANEL 523NB EROSION","AP,WSNC,WSPT,WSST","AP","0"
"LH FUSELAGE SKIN CORROSION AROUND LAVATO","STR,WSNC,WSPT,WSST","STR","3"
"FWD CARGO PDU ROLLER FOUND WORN OUT 4EA","AP","AP","0"
"TOILET SERVICE PANEL BONDING TEAR 1EA","AP,EA","AP","0"
"HINGE PIN FLAPPER TISSUE DOOR MISSING 1EA AT L14","CBN","CBN","2"
"L/H INB MIDFLAP ACCORDION HYREX BROKEN","AP,NA,WSPT,WSST","AP","0"
"PARKING BRAKE OPERATED VALVE (5801 GG) FOUND BLACK DEPOSITE AT PORT B","AP","AP","0"
"RH MLG BYPASS DOOR VALVE FOUND LEAK FROM","AP","AP","0"
"AFT CARGO PDU 1402MY121 INTERMITTENT","AP,EA","AP","0"
"DURING OPC AFT FUEL PUMP FIRE STOP CIRCU","EA","EA","1"
"L/H W/W BS 1350 HYD TUBE CLAMP BROKE","AP","AP","0"
"LH FUSELAGE SKIN GOUGE BET FR. 57.2 - FR. 57.3 STGR.47LH-STGR.48LH","STR,WSNC,WSPT","STR","3"
"GRILL COLLECTOR PEEL OFF","CBN","CBN","2"
"ENG#1 OIL FEED TUBE DENT AT AFT OF FUEL","AP","AP","0"
"RH OUTB T/R ACTUATOR HOLD OPEN ROD THREA","AP,WSSR","AP","0"
"LH ENGINE PYLON UPPER SEAL PRECOOLER HAS","AP","AP","0"
"RH WING LG INB STRUT DOOR BONDING CABLE","AP,EA","AP","0"
"BULK CARGO PARTITION PANEL 161 YW PUNCTURE","AP,WSPT,WSST","AP","0"
"FWD CARGO LOADING PLACARD HAS BAD CONDIT","WSPT","WSPT","4"
"RH WING LEADING EDGE HAS CRACK BETWEEN S","STR,WSNC,WSPT","STR","3"
"LH WING RUBBER SEAL INTERCONNECTING STRU","AP","AP","0"
"LAV A WALL TO COCKPIT PAINT DISCOLORATIO","WSSS","WSSS","5"
"FOAM TAPE, SCREW FLOOR, AND CLIP NUT BRO","CBN","CBN","2"
"RH BODY I/B W/W DOOR CORROSION AT LOWER","AP,NA,Repair Eng/APU Laboratorium,STR,WSPT,WSST","AP","0"
"LH WING LE 1 THROUGH 5 BONDING CABLE BRO","AP","AP","0"
"UPPER SEAL OF SHROUD LAV DOOR CS 14 NOT","CBN","CBN","2"
"LH WING FLAP FAIRING #3 MOVABLE CANOE SKIN ERRODED AROUND HOLE","WSPT,WSSR","WSPT","4"
"LAV.CABINATE HINGE SCREW WAS NOT COMPLE","CBN","CBN","2"
"RH WING SPOILER LEAD BONDING HAS TEAR 2","EA","EA","1"
"LH WING KRUEGER #11 RUBBER SEAL UPPER PO","AP","AP","0"
"SPARE LIFEVEST POST AFT RH LUG NEED SEND TO SHOP S/N : L202037","CBN","CBN","2"
"SOME OF MAIN L/G BRAKE TEMP CONNECTOR LO","EA","EA","1"
"SVC LIGHT NOT ILL 1 EA AT W/W L/G","EA","EA","1"
"SVC LIGHT NOT ILL AT APU COMPARTMENT","EA","EA","1"
"FWD CABIN FLOOR SUPPORT CORROSION AT BETWEEN FR 11 TO FR 13 AND Y 700","STR","STR","3"
"FWD CABIN FLOOR SUPPORT CORROSION AT FR 13 AND BETWEEN Y 45O TO Y 953","STR","STR","3"
"ATTD SEAT AFT RH DISCOLORATION","CBN,WSSS","CBN","2"
"RH WING AILERON PANEL SCREW BAD CONDITION 60 EA","AP","AP","0"
"ENG #1 AFT FAIRING CASE DRAIN TUBE BOLT AND CLAMP NEEDRETIGHTEN","AP","AP","0"
"CABIN FLOOR SEAT TRACK CORROSION AT BETWEEN FR 32 TO FR 34 AND Y1460","STR,WSPT,WSST","STR","3"
"FOUND FIX NUT MISSING FOR INSTALLATION D","CBN,STR","CBN","2"
"ENGINE#1 LPTACC BRACKET POS 11 O.CLOCK CRACK","AP,NDT,Repair Eng/APU Welding","AP","0"
